Feature,Coefficient,AbsCoefficient
avg_watch_time_per_day,-4.332219245629081,4.332219245629081
watch_hours,-3.6319027536375557,3.6319027536375557
monthly_fee,-2.4086593816698483,2.4086593816698483
last_login_days,2.3016200408708594,2.3016200408708594
subscription_type,1.872122061729305,1.872122061729305
payment_method_Debit Card,-1.0963120088052252,1.0963120088052252
number_of_profiles,-1.0922555400388072,1.0922555400388072
payment_method_PayPal,-0.8840655026030196,0.8840655026030196
payment_method_Credit Card,-0.8315873762189963,0.8315873762189963
payment_method_Crypto,0.730800560693606,0.730800560693606
gender_Male,-0.5776677240570844,0.5776677240570844
payment_method_Gift Card,0.5772979692098997,0.5772979692098997
gender_Other,-0.5136015760674503,0.5136015760674503
device_Desktop,-0.44064292399335847,0.44064292399335847
favorite_genre_Documentary,-0.42683110907074445,0.42683110907074445
gender_Female,-0.41259705759910703,0.41259705759910703
region_Asia,-0.3872053762733897,0.3872053762733897
favorite_genre_Romance,-0.3380344675285598,0.3380344675285598
device_Tablet,-0.33176252605256074,0.33176252605256074
device_Mobile,-0.3218180630460977,0.3218180630460977
region_North America,-0.3128899711425859,0.3128899711425859
favorite_genre_Sci-Fi,-0.29614014885011825,0.29614014885011825
favorite_genre_Horror,-0.27397402898004375,0.27397402898004375
region_Africa,-0.24970334320720367,0.24970334320720367
region_Oceania,-0.2456457689567624,0.2456457689567624
device_Laptop,-0.20543841469889457,0.20543841469889457
device_TV,-0.20420442993275448,0.20420442993275448
favorite_genre_Comedy,-0.17689263016141407,0.17689263016141407
region_Europe,-0.17057010058397823,0.17057010058397823
favorite_genre_Drama,0.14034713710097563,0.14034713710097563
region_South America,-0.13785179755972474,0.13785179755972474
favorite_genre_Action,-0.13234111023372666,0.13234111023372666
age,0.010162743680467573,0.010162743680467573
